LARISSA GALIMBERTI,Sócia,Latin Lawyer 250,2020,"Data, Technology and Privacy Law ",The Legal 500 Latin America,2021,"TMT: Cybersecurity and Data Privacy / Tech, Innovation and Digital Business"
LEONARDO BAPTISTA RODRIGUES CRUZ,Sócio,Latin Lawyer 250,2020,Banking & Finance ,IFLR 1000,2021,Banking and Finance / Capital Markets
LEONARDO PERES DA ROCHA E SILVA,Sócio,Chambers Brazil,2021,Competition/Antitrust ,Latin Lawyer 250,2020,Antitrust & Competition 
LUCIANA ROSANOVA GALHARDO,Sócia,Chambers Latin America,2021,Tax - Band 1,Chambers Brazil,2021,Tax: Litigation
LUCIANO GARCIA ROSSI,Sócio,Chambers Latin America,2021,Real Estate / Real Estate: Finance ,Latin Lawyer 250,2020,Real Estate & Tourism 
LUIS ANTÔNIO FERRAZ MENDES,Sócio,Chambers Brazil,2021,Labour & Employment ,Latin Lawyer 250,2020,Labour
LUIS CELSO CECILIO LEITE RIBEIRO,Sócio,Chambers Latin America,2021,Environment,Latin Lawyer 250,2020,Environment
LUIS CLÁUDIO FURTADO FARIA,Sócio,Latin Lawyer 250,2020,Maritime,The Legal 500 Latin America,2021,Dispute Resolution: Litigation / Transport and shipping
LUIZ FERNANDO VALENTE DE PAIVA ,Sócio,Chambers Brazil,2021,Bankruptcy/Restructuring - Band 1,Latin Lawyer 250,2020,Restructuring & Insolvency / Litigation 
"LUIZ PAULO 
ROMANO",Consultor,The Legal 500 Latin America,2021,City Focus - Brasília - Tax,,,
LUIZ ROBERTO PEROBA BARBOSA,Sócio,Chambers Latin America,2021,Tax,Chambers Brazil,2021, Tax: Litigation
"MANUELA 
MENDES PRATA",Consultora,,,,,,
MARCELLO ALFREDO BERNARDES,Sócio,Latin Lawyer 250,2020,Management / Administrative Law ,The Legal 500 Latin America,2021,Public Law
MARCELLO PORTES DA SILVEIRA LOBO,Sócio,Latin Lawyer 250,2020,Energy,The Legal 500 Latin America,2021,Energy and Natural Resources: Hydrocarbons / Transport and Shipping
MARCELO MARQUES RONCAGLIA,Sócio,Latin Lawyer 250,2020,Litigation,The Legal 500 Latin America,2021,Tax
MARCELO VIVEIROS DE MOURA,Sócio,Chambers Latin America,2021,Corporate/M&A ,Latin Lawyer 250,2020,Energy / Project Finance & Infrastructure / Corporate and M&A  
